ID	Type    Traffic
31	Two-stage	373.2067038
32	Two-stage	375.4323625
33	Two-stage	377.1639885
34	Two-stage	382.4051674
35	Two-stage	385.4362995
36	Two-stage	387.5634911
37	Two-stage	394.3473019
38	Two-stage	398.0170345
39	Two-stage	399.9646688
40	Two-stage	401.7750507
41	Two-stage	408.9685389
42	Two-stage	413.6133502
43	Two-stage	416.9115477
44	Two-stage	420.2278176
45	Two-stage	424.3367232
46	Two-stage	427.7878371
47	Two-stage	429.6439909
48	Two-stage	434.0052472
49	Two-stage	437.8013107
50	Two-stage	445.5215339
51	Two-stage	448.0272388
52	Two-stage	451.8426543
53	Two-stage	454.943447
54	Two-stage	456.7871825
55	Two-stage	460.7949573
56	Two-stage	463.241148
57	Two-stage	465.715844
58	Two-stage	469.0444823
59	Two-stage	472.9254783
60	Two-stage	475.181539
61	Two-stage	477.0752906
62	Two-stage	480.9658289
63	Two-stage	485.814338
64	Two-stage	488.5129614
65	Two-stage	521.0175717
66	Two-stage	526.1071101
67	Two-stage	529.3308432
68	Two-stage	531.4665717
69	Two-stage	534.9785848
70	Two-stage	539.144428
71	Two-stage	543.6629864
72	Two-stage	546.197156
73	Two-stage	548.6618721
74	Two-stage	550.990525
75	Two-stage	553.1422608
76	Two-stage	557.2547652
77	Two-stage	577.7907245
78	Two-stage	583.1946544
79	Two-stage	585.5817387
80	Two-stage	587.9487775
81	Two-stage	590.5736076
82	Two-stage	592.5996112
83	Two-stage	594.50176
84	Two-stage	597.2306615
85	Two-stage	599.7970003
86	Two-stage	602.6990421
87	Two-stage	604.9580021
88	Two-stage	607.0496982
89	Two-stage	609.1517925
90	Two-stage	611.0496267
91	Two-stage	613.2786334
92	Two-stage	615.5349505
93	Two-stage	616.6326664
94	Two-stage	617.5975209
95	Two-stage	618.8166956
96	Two-stage	619.8910571
97	Two-stage	620.9699638
98	Two-stage	622.1872101
99	Two-stage	623.3257727
100	Two-stage	624.3983796
101	Two-stage	625.3639457
102	Two-stage	626.5031871
103	Two-stage	627.5314431
104	Two-stage	628.5622246
105	Two-stage	629.5903425
106	Two-stage	630.6313627
107	Two-stage	632.0900761
108	Two-stage	633.0573796
109	Two-stage	637.0714957
110	Two-stage	638.5801422
111	Two-stage	640.0295182
112	Two-stage	641.7444049
113	Two-stage	642.9434786
114	Two-stage	644.0570189
115	Two-stage	645.0525982
1	Random-threshold	326.8361923
2	Random-threshold	564.3155956
3	Random-threshold	835.3285098
4	Random-threshold	1123.297213
5	Random-threshold	1412.091076
6	Random-threshold	1710.555136
7	Random-threshold	2011.479138
8	Random-threshold	2318.105703
9	Random-threshold	2624.674469
10	Random-threshold	2933.727934
11	Random-threshold	3244.890794
12	Random-threshold	3556.664743
13	Random-threshold	3870.135898
14	Random-threshold	4183.725798
15	Random-threshold	4499.795329
16	Random-threshold	4819.419573
17	Random-threshold	5140.335087
18	Random-threshold	5461.35602
19	Random-threshold	5782.674123
20	Random-threshold	6104.135147
21	Random-threshold	6425.787103
22	Random-threshold	6845.096043
23	Random-threshold	7264.834696
24	Random-threshold	7686.407165
25	Random-threshold	8109.776415
26	Random-threshold	8534.723552
27	Random-threshold	8959.428972
28	Random-threshold	9384.019455
29	Random-threshold	9808.621608
30	Random-threshold	10231.30275
31	Random-threshold	10664.6824
32	Random-threshold	11095.93495
33	Random-threshold	11527.24748
34	Random-threshold	11959.64338
35	Random-threshold	12392.11936
36	Random-threshold	12824.67506
37	Random-threshold	13261.35237
38	Random-threshold	13695.67259
39	Random-threshold	14128.8413
40	Random-threshold	14562.01475
41	Random-threshold	15004.59078
42	Random-threshold	15450.99548
43	Random-threshold	15898.50846
44	Random-threshold	16346.44693
45	Random-threshold	16794.20279
46	Random-threshold	17242.21612
47	Random-threshold	17690.71165
48	Random-threshold	18139.17919
49	Random-threshold	18585.97594
50	Random-threshold	19034.10998
51	Random-threshold	19487.64276
52	Random-threshold	19942.59563
53	Random-threshold	20397.8149
54	Random-threshold	20852.79022
55	Random-threshold	21308.88723
56	Random-threshold	21766.04255
57	Random-threshold	22223.4858
58	Random-threshold	22702.39336
59	Random-threshold	23185.21818
60	Random-threshold	23668.16644
61	Random-threshold	24151.09871
62	Random-threshold	24636.72694
63	Random-threshold	25147.66045
64	Random-threshold	25659.87635
65	Random-threshold	26198.81564
66	Random-threshold	26716.55862
67	Random-threshold	27235.10358
68	Random-threshold	27753.67871
69	Random-threshold	28272.9752
70	Random-threshold	28792.91499
71	Random-threshold	29314.88523
72	Random-threshold	29836.98841
73	Random-threshold	30359.1141
74	Random-threshold	30881.32331
75	Random-threshold	31403.54295
76	Random-threshold	31927.88486
77	Random-threshold	32466.13607
78	Random-threshold	32929.9481
79	Random-threshold	33393.48329
80	Random-threshold	33857.04371
81	Random-threshold	34320.65023
82	Random-threshold	34784.12192
83	Random-threshold	35247.69519
84	Random-threshold	35711.58064
85	Random-threshold	36175.9365
86	Random-threshold	36643.11463
87	Random-threshold	37140.85104
88	Random-threshold	37635.34118
89	Random-threshold	38130.08151
90	Random-threshold	38624.73221
91	Random-threshold	39121.70794
92	Random-threshold	39369.0543
93	Random-threshold	39616.30196
94	Random-threshold	39863.57516
95	Random-threshold	40110.95648
96	Random-threshold	40358.34737
97	Random-threshold	40606.49322
98	Random-threshold	40854.70811
99	Random-threshold	41102.90635
100	Random-threshold	41351.12206
101	Random-threshold	41599.34995
102	Random-threshold	41847.64639
103	Random-threshold	42095.95832
104	Random-threshold	42344.28244
105	Random-threshold	42592.61709
106	Random-threshold	42840.96657
107	Random-threshold	43089.73478
108	Random-threshold	43338.47937
109	Random-threshold	43590.5961
110	Random-threshold	43843.1074
111	Random-threshold	44097.98674
112	Random-threshold	44353.105
113	Random-threshold	44608.38345
114	Random-threshold	44863.65863
115	Random-threshold	45118.93093
	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
